DriverId,Processed_Speed,Aggregated_Speed,Processed_Acceleration,Aggregated_Acceleration,Processed_Jerk,Aggregated_Jerk,Processed_Braking_Intensity,Aggregated_Braking_Intensity,Processed_Heading_Change,Aggregated_Heading_Change,Processed_SASV,Aggregated_SASV,Processed_Speed_Violation,Aggregated_Speed_Violation,Processed_Driving_Score,Aggregated_Driving_Score,Processed_Driving_Category,Aggregated_Driving_Category
31,0.5237280475206612,0.5237280475206612,0.4319351420277748,0.4319351420277748,0.4947902863919903,0.4947902863919903,0.0812672176308538,0.0812672176308538,0.7741119676343984,0.7741119676343984,0,0,1,1,57.76,54.81,Risky,Risky
32,0.5148450286415712,0.5148450286415712,0.4248471349915616,0.4248471349915616,0.500745452927824,0.500745452927824,0.08216720335249492,0.0821672033524949,0.5257827882229172,0.5257827882229172,0,0,1,1,60.43,57.58,Risky,Risky
33,0.4802400914634146,0.4802400914634146,0.42469819173549483,0.4246981917354948,0.49612590042750737,0.4961259004275074,0.09658536585365832,0.0965853658536583,0.13164366403834582,0.1316436640383458,0,0,1,1,68.11,62.34,Risky,Moderate
34,0.412708849009901,0.412708849009901,0.4055232050819657,0.4055232050819657,0.49930331156095115,0.4993033115609511,0.10793242661516421,0.1079324266151642,0.5831821134544019,0.5831821134544019,0,0,1,1,65.6,59.73,Risky,Risky
35,0.26637716623876767,0.2663771662387676,0.42393238496368485,0.4239323849636848,0.4933176947842004,0.4933176947842004,0.09373044040037902,0.093730440400379,0.5499865282534423,0.5499865282534423,0,0,0,0,76.97,78.55,Moderate,Moderate
36,0.41176114341085274,0.4117611434108527,0.4266839675393575,0.4266839675393575,0.5042108386887066,0.5042108386887068,0.1310077519379842,0.1310077519379842,0.3812133841273696,0.3812133841273696,0,0,1,1,68.24,61.32,Risky,Moderate
37,0.26045022551546393,0.2604502255154639,0.4251486473508624,0.4251486473508624,0.5046872441413427,0.5046872441413428,0.1394370607909205,0.1394370607909205,0.2394155219229595,0.2394155219229595,0,0,0,0,76.47,81.5,Moderate,Safe
38,0.5254891304347826,0.5254891304347826,0.4234717373673264,0.4234717373673264,0.4994235397722532,0.4994235397722533,0.09879826510102592,0.0987982651010259,0.2217221084342418,0.2217221084342418,0,0,1,1,65.44,60.3,Risky,Moderate
39,0.47748419943820225,0.4774841994382022,0.42724252491694387,0.4272425249169439,0.5008761668067053,0.5008761668067053,0.11192131098585213,0.1119213109858521,0.8218816573741393,0.8218816573741393,0,0,1,1,58.02,55.37,Risky,Risky
40,0.3052439458689459,0.3052439458689458,0.42533406472222773,0.4253340647222277,0.49954996193322304,0.499549961933223,0.15270655270655237,0.1527065527065523,0.2768959569871641,0.2768959569871641,0,0,0,0,71.13,79.96,Moderate,Moderate
41,0.48861424180327867,0.4886142418032786,0.42650273224043744,0.4265027322404375,0.49808244724390777,0.4980824472439077,0.06590163934426212,0.0659016393442621,0.6472135553453698,0.6472135553453698,0,0,1,1,60.86,57.1,Risky,Risky
42,0.6330474624060151,0.6330474624060151,0.4186753290994481,0.418675329099448,0.5045196347631864,0.5045196347631864,0.12932330827067637,0.1293233082706763,0.7174632536501613,0.7174632536501612,0,0,1,1,55.41,52.55,Risky,Risky
43,0.5702844982078853,0.5702844982078853,0.42741935483871,0.42741935483871,0.5011492093459426,0.5011492093459426,0.08864994026284327,0.0886499402628432,0.21405920089240746,0.2140592008924074,0,0,1,1,63.61,59.24,Risky,Risky
45,0.47811692506459946,0.4781169250645994,0.4275359357546879,0.4275359357546879,0.5064736967637606,0.5064736967637609,0.08011530457634666,0.0801153045763466,0.4199790092077739,0.4199790092077739,0,0,1,1,64.89,59.5,Risky,Risky
46,0.5885876017639078,0.5885876017639077,0.42073333832788135,0.4207333383278813,0.4987841371399565,0.4987841371399565,0.07680715219219,0.07680715219219,0.7109280255413655,0.7109280255413654,0,0,1,1,58.73,53.99,Risky,Risky
47,0.6585997750642674,0.6585997750642673,0.41001881499962134,0.4100188149996213,0.499075436141515,0.499075436141515,0.06659751752276047,0.0665975175227604,0.2056434503521187,0.2056434503521187,0,0,1,1,61.09,57.5,Risky,Risky
48,0.5787613565162907,0.5787613565162907,0.4273152438487157,0.4273152438487158,0.49802777249924474,0.4980277724992447,0.11930557015155394,0.1193055701515539,0.37190931474521394,0.371909314745214,0,0,1,1,58.69,57.32,Risky,Risky
49,0.18508154376012967,0.1850815437601296,0.4292247306101236,0.4292247306101236,0.5082289085853872,0.5082289085853872,0.1416596740883782,0.1416596740883782,0.418411950916354,0.4184119509163539,0,0,0,0,79.41,81.5,Safe,Safe
50,0.2512365107913669,0.2512365107913669,0.4223043684867777,0.4223043684867777,0.4966583923390431,0.4966583923390431,0.12345323741007168,0.1234532374100716,0.468897527492496,0.468897527492496,0,0,0,0,75.77,79.59,Moderate,Moderate
